id,question,difficulty,category,correct_answer,option1,option2,option3,option4
1,"What is 2+2?","easy","math","4","3","4","5","6"
2,"Capital of France?","easy","geography","Paris","London","Paris","Rome","Islamabad"
3,"What color is the sky on a clear day?","easy","science","Blue","Blue","Green","Red","Yellow"
4,"How many days are in a week?","easy","general","7","5","6","7","8"
5,"What is the opposite of hot?","easy","vocabulary","Cold","Hot","Warm","Cold","Cool"
6,"How many legs does a cat have?","easy","biology","4","2","3","4","5"
7,"What is 5 + 7?","easy","math","12","10","11","12","13"
8,"What is the first month of the year?","easy","general","January","February","January","March","May"
9,"What animal barks?","easy","biology","Dog","Cat","Cow","Dog","Sheep"
10,"Which shape has 3 sides?","easy","math","Triangle","Square","Rectangle","Triangle","Circle"
11,"What is 10 minus 5?","easy","math","5","3","4","5","6"
12,"What day comes after Monday?","easy","general","Tuesday","Sunday","Tuesday","Wednesday","Thursday"
13,"Which sense do we use to taste?","easy","biology","Taste","Sight","Hearing","Smell","Taste"
14,"What is the color of grass?","easy","science","Green","Blue","Green","Red","Orange"
15,"What is 3×3?","easy","math","9","6","7","8","9"
16,"What is the capital of Pakistan?","easy","geography","Islamabad","Lahore","Karachi","Islamabad","Peshawar"
17,"What do bees make?","easy","biology","Honey","Milk","Honey","Bread","Cheese"
18,"Which planet do we live on?","easy","science","Earth","Mars","Venus","Earth","Jupiter"
19,"How many hours in a day?","easy","general","24","24","12","36","48"
20,"What is 7 + 2?","easy","math","9","8","9","10","11"

21,"Solve for x: 3x = 15","medium","math","5","3","4","5","6"
22,"Capital of Germany?","medium","geography","Berlin","Munich","Frankfurt","Berlin","Hamburg"
23,"What is the boiling point of water (°C)?","medium","science","100","90","95","100","105"
24,"Who wrote 'Romeo and Juliet'?","medium","literature","Shakespeare","Dickens","Hemingway","Shakespeare","Tolkien"
25,"What is 12×12?","medium","math","144","132","144","154","124"
26,"What is the square root of 81?","medium","math","9","8","9","10","11"
27,"Which gas do plants inhale?","medium","science","Carbon Dioxide","Oxygen","Carbon Dioxide","Nitrogen","Hydrogen"
28,"In computing, what does 'CPU' stand for?","medium","programming","Central Processing Unit","Computer Personal Unit","Central Processing Unit","Control Process Unit","Central Performance Unit"
29,"Who discovered gravity?","medium","science","Newton","Einstein","Newton","Galileo","Hawking"
30,"What is 15% of 200?","medium","math","30","20","25","30","35"
